,smiles
0,O=C1C=CC(=O)C=C1
1,Cc1c(C)c2c(c(C)c1O)CC(C)(C)O2
2,COc1c(O)cc(C)c(O)c1OC
3,Cc1c(O)ccc(O)c1C
4,CC(C)(C)c1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1
5,Cc1ccc(O)c(C)c1
6,CC(C)=CC(C)C
7,Cc1cc(O)c(C)cc1O
8,CC(C)(C)c1cc(-c2ccccc2)cc(C(C)(C)C)c1O
9,Cc1cccc(C)c1O
10,Cc1cc(O)cc(C)c1O
11,Cc1cc(O)ccc1O
12,CCC=C(C)C
13,Oc1ccc2ccccc2c1
14,Cc1ccc(O)cc1C
15,O=c1c(O)c(-c2ccccc2)oc2ccccc12
16,Nc1ccc(O)cc1
17,Cc1ccc(O)c(O)c1
18,C=CC=C(C)C
19,CC(=O)O
20,CNCC(O)c1ccc(O)c(O)c1
21,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=O)C(C)(C)CCC1
22,CC1=CCCC(C)(C)C1/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C
23,Cc1c(C)c2c(c(C)c1O)CCC(C)(CCC(=O)O)O2
24,Cc1c(C)c2c(c(C)c1O)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O2
25,CC1=C(C(C[C@@H](C1=O)O)(C)C)/C=C/C(=C/C=C/C(=C/C=C/C=C(/C=C/C=C(/C=C/C2=C(C(=O)[C@H](CC2(C)C)O)C)\C)\C)/C)/C
26,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C=C/C=C(/C=C/C=C(/C=C/C2=C(CCCC2(C)C)C)\C)\C)/C)/C
27,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)CC(O)CC2(C)C)C(C)(C)CCC1
28,Cc1cc(O)c(C)c2c1OC(C)(CCCC(C)CCCC(C)CCCC(C)C)CC2
29,Cc1cc(C(C)(C)C)c(O)c(C(C)(C)C)c1
30,C=CC1=C(C)C(/C=c2\[nH]/c(=C\c3[nH]c(/C=C4\NC(=O)C(C)=C4C=C)c(C)c3CCC(=O)O)c(CCC(=O)O)c2C)=NC1=O
31,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C(=O)C2(C)CC(O)CC2(C)C)C(C)(C)CC(O)C1
32,Oc1ccccc1O
33,CC(C)CCCC(C)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C
34,O=C(O)/C=C/c1ccc(O)c(O)c1
35,C1CN2CCN1CC2
36,Cc1cc(O)cc2c1OC(C)(CCCC(C)CCCC(C)CCCC(C)C)CC2
37,CC(/C=C/C=C(C)/C=C/C=C(\C)CCCC(C)(C)O)=C\C=C\C=C(C)\C=C\C=C(C)\C=C\C=C(/C)CCCC(C)(C)O
38,NCCc1ccc(O)c(O)c1
39,c1ccc(-c2oc(-c3ccccc3)c3ccccc23)cc1
40,Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2
